Stop Name,Station ID,Complex ID,GTFS Stop ID,Division,Line,Precinct,GTFS Latitude,GTFS Longitude,Borough,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
59 St,400,613,629,IRT,Lexington Av,18,40.762526,-73.967967,M,4 5 2006,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
51 St,401,612,630,IRT,Lexington Av,18,40.757107,-73.97192,M,6,Subway,Uptown & The Bronx,Downtown,1,,,,,
Grand Central-42 St,402,610,631,IRT,Lexington Av,14,40.751776,-73.976848,M,4 5 2006,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
33 St,403,403,632,IRT,Lexington Av,14,40.746081,-73.982076,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
28 St,404,404,633,IRT,Lexington Av,13,40.74307,-73.984264,M,6,Subway,Uptown & The Bronx,Downtown,2,Downtown only,0,1,,
23 St,405,405,634,IRT,Lexington Av,13,40.739864,-73.986599,M,6,Subway,Uptown & The Bronx,Downtown,1,,,,,
14 St-Union Sq,406,602,635,IRT,Lexington Av,9,40.734673,-73.989951,M,4 5 2006,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
Astor Pl,407,407,636,IRT,Lexington Av,9,40.730054,-73.99107,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
Bleecker St,408,619,637,IRT,Lexington Av,9,40.725915,-73.994659,M,6,Subway,Uptown & The Bronx,Downtown,1,,,,,
Spring St,409,409,638,IRT,Lexington Av,5,40.722301,-73.997141,M,6,Subway,Uptown & The Bronx,Downtown,0,,,,,
Canal St,410,623,639,IRT,Lexington Av,5,40.718803,-74.000193,M,6,Subway,Uptown & The Bronx,Downtown,1,,,,,
Brooklyn Bridge-City Hall,411,622,640,IRT,Lexington Av,5,40.713065,-74.004131,M,4 5 2006,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
Fulton St,412,628,418,IRT,Lexington Av,1,40.710368,-74.009509,M,4 5,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
Wall St,413,413,419,IRT,Lexington Av,1,40.707557,-74.011862,M,4 5,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
Bowling Green,414,414,420,IRT,Lexington Av,32,40.704817,-74.014065,M,4 5,Subway,Uptown & The Bronx,Brooklyn,1,,,,,
Harlem-148 St,436,436,301,IRT,Lenox - White Plains Rd,32,40.82388,-73.93647,M,3,Subway,,Downtown & Brooklyn,0,,,,,
145 St,437,437,302,IRT,Lenox - White Plains Rd,32,40.820421,-73.936245,M,3,Subway,148 St,Downtown & Brooklyn,0,,,,,
135 St,438,438,224,IRT,Lenox - White Plains Rd,32,40.814229,-73.94077,M,2 3,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
125 St,439,439,225,IRT,Lenox - White Plains Rd,28,40.807754,-73.945495,M,2 3,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
116 St,440,440,226,IRT,Lenox - White Plains Rd,28,40.802098,-73.949625,M,2 3,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
Central Park North (110 St),441,441,227,IRT,Lenox - White Plains Rd,28,40.799075,-73.951822,M,2 3,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
Grand Central-42 St,465,610,723,IRT,Flushing,14,40.751431,-73.976041,M,7,Subway,Queens,34 St - Hudson Yards,1,,,,,
5 Av,466,609,724,IRT,Flushing,14,40.753821,-73.981963,M,7,Subway,Queens,34 St - Hudson Yards,0,,,,,
Times Sq-42 St,467,611,725,IRT,Flushing,14,40.755477,-73.987691,M,7,Subway,Queens,34 St - Hudson Yards,1,,,,,
Times Sq-42 St,468,611,902,IRT,Lexington - Shuttle,14,40.755983,-73.986229,M,S,Subway,,Grand Central,1,,,,,
Grand Central-42 St,469,610,901,IRT,Lexington - Shuttle,14,40.752769,-73.979189,M,S,Subway,Times Sq,,1,,,,,
34 St-Hudson Yards,471,471,726,IRT,Flushing,10,40.755882,-74.00191,M,7,Subway,Queens,,1,,,,,
96 St,475,475,Q05,IND,Second Av,19,40.784318,-73.947152,M,Q,Subway,,Downtown & Brooklyn,1,,,,,
86 St,476,476,Q04,IND,Second Av,19,40.777891,-73.951787,M,Q,Subway,Uptown,Downtown & Brooklyn,1,,,,,
72 St,477,477,Q03,IND,Second Av,19,40.768799,-73.958424,M,Q,Subway,Uptown,Downtown & Brooklyn,1,,,,,
